Id,Parent,Label
1,0,Animal
2,0,Fruit
3,0,Clothing
4,0,Electronic
5,0,Transportation
6,0,Furniture
7,0,Stationery
8,0,Instrument
9,1,Bird
10,1,Frog
11,1,Fish
12,1,Butterfly
13,1,Cat
14,1,Spider
15,1,Snake
16,1,Dog
17,2,Banana
18,2,Apple
19,2,Pear
20,2,Plum
21,2,Papaya
22,2,Grape
23,2,Berry
24,2,Melon
25,3,Socks
26,3,Jacket
27,3,Blouse
28,3,Jeans
29,3,Belt
30,3,Hat
31,3,Gloves
32,3,Shirt
33,4,Printer
34,4,Monitor
35,4,Phone
36,4,Speaker
37,4,Tablet
38,4,Laptop
39,4,Camera
40,4,Headphones
41,5,Train
42,5,Bus
43,5,Helicopter
44,5,Boat
45,5,Airplane
46,5,Van
47,5,Truck
48,5,Motorcycle
49,6,Sofa
50,6,Bed
51,6,Chair
52,6,Shelf
53,6,Bookcase
54,6,Table
55,6,Mattress
56,6,Stool
57,7,Eraser
58,7,Pencil
59,7,Ruler
60,7,Highlighter
61,7,Pen
62,7,Stapler
63,7,Envelope
64,7,Marker
65,8,Piano
66,8,Accordion
67,8,Violin
68,8,Drum
69,8,Flute
70,8,Saxophone
71,8,Trumpet
72,8,Guitar
73,9,Green Bird
74,9,Red Bird
75,9,Pink Bird
76,9,Purple Bird
77,9,White Bird
78,9,Yellow Bird
79,9,Blue Bird
80,9,Black Bird
81,10,Black Frog
82,10,Green Frog
83,10,Purple Frog
84,10,Pink Frog
85,10,White Frog
86,10,Red Frog
87,10,Yellow Frog
88,10,Blue Frog
89,11,Purple Fish
90,11,Yellow Fish
91,11,Green Fish
92,11,Blue Fish
93,11,White Fish
94,11,Red Fish
95,11,Pink Fish
96,11,Black Fish
97,12,Blue Butterfly
98,12,White Butterfly
99,12,Yellow Butterfly
100,12,Pink Butterfly
101,12,Green Butterfly
102,12,Purple Butterfly
103,12,Red Butterfly
104,12,Black Butterfly
105,13,Black Cat
106,13,Purple Cat
107,13,Pink Cat
108,13,White Cat
109,13,Yellow Cat
110,13,Red Cat
111,13,Green Cat
112,13,Blue Cat
113,14,Yellow Spider
114,14,Black Spider
115,14,Red Spider
116,14,Green Spider
117,14,White Spider
118,14,Blue Spider
119,14,Pink Spider
120,14,Purple Spider
121,15,Green Snake
122,15,Blue Snake
123,15,White Snake
124,15,Black Snake
125,15,Purple Snake
126,15,Yellow Snake
127,15,Red Snake
128,15,Pink Snake
129,16,Red Dog
130,16,White Dog
131,16,Yellow Dog
132,16,Blue Dog
133,16,Green Dog
134,16,Black Dog
135,16,Pink Dog
136,16,Purple Dog
137,17,Yellow Banana
138,17,Pink Banana
139,17,Blue Banana
140,17,Black Banana
141,17,Red Banana
142,17,Green Banana
143,17,Purple Banana
144,17,White Banana
145,18,Black Apple
146,18,White Apple
147,18,Purple Apple
148,18,Pink Apple
149,18,Yellow Apple
150,18,Blue Apple
151,18,Red Apple
152,18,Green Apple
153,19,Blue Pear
154,19,Yellow Pear
155,19,Pink Pear
156,19,Green Pear
157,19,Purple Pear
158,19,Red Pear
159,19,White Pear
160,19,Black Pear
161,20,Blue Plum
162,20,Yellow Plum
163,20,Black Plum
164,20,Purple Plum
165,20,Pink Plum
166,20,White Plum
167,20,Red Plum
168,20,Green Plum
169,21,Blue Papaya
170,21,Red Papaya
171,21,Purple Papaya
172,21,Black Papaya
173,21,White Papaya
174,21,Green Papaya
175,21,Pink Papaya
176,21,Yellow Papaya
177,22,Yellow Grape
178,22,Blue Grape
179,22,Red Grape
180,22,Black Grape
181,22,Pink Grape
182,22,White Grape
183,22,Purple Grape
184,22,Green Grape
185,23,Yellow Berry
186,23,Green Berry
187,23,Pink Berry
188,23,Black Berry
189,23,Red Berry
190,23,Blue Berry
191,23,White Berry
192,23,Purple Berry
193,24,Blue Melon
194,24,Purple Melon
195,24,Pink Melon
196,24,Red Melon
197,24,Green Melon
198,24,Black Melon
199,24,White Melon
200,24,Yellow Melon
201,25,Green Socks
202,25,Yellow Socks
203,25,Blue Socks
204,25,Black Socks
205,25,White Socks
206,25,Pink Socks
207,25,Purple Socks
208,25,Red Socks
209,26,Blue Jacket
210,26,Yellow Jacket
211,26,Purple Jacket
212,26,Red Jacket
213,26,White Jacket
214,26,Pink Jacket
215,26,Green Jacket
216,26,Black Jacket
217,27,Black Blouse
218,27,Purple Blouse
219,27,Blue Blouse
220,27,Pink Blouse
221,27,Red Blouse
222,27,Green Blouse
223,27,Yellow Blouse
224,27,White Blouse
225,28,Purple Jeans
