Id,Parent,Label
1,0,Animal
2,0,Fruit
3,0,Clothing
4,0,Transportation
5,1,Bird
6,1,Frog
7,1,Fish
8,1,Butterfly
9,2,Banana
10,2,Apple
11,2,Pear
12,2,Plum
13,3,Socks
14,3,Jacket
15,3,Blouse
16,3,Jeans
17,4,Train
18,4,Bus
19,4,Van
20,4,Boat
21,5,Yellow Bird
22,5,Red Bird
23,5,Purple Bird
24,5,Blue Bird
25,6,Purple Frog
26,6,Blue Frog
27,6,Yellow Frog
28,6,Red Frog
29,7,Blue Fish
30,7,Purple Fish
31,7,Red Fish
32,7,Yellow Fish
33,8,Red Butterfly
34,8,Blue Butterfly
35,8,Purple Butterfly
36,8,Yellow Butterfly
37,9,Blue Banana
38,9,Red Banana
39,9,Yellow Banana
40,9,Purple Banana
41,10,Blue Apple
42,10,Red Apple
43,10,Yellow Apple
44,10,Purple Apple
45,11,Blue Pear
46,11,Yellow Pear
47,11,Red Pear
48,11,Purple Pear
49,12,Blue Plum
50,12,Yellow Plum
51,12,Red Plum
52,12,Purple Plum
53,13,Red Socks
54,13,Blue Socks
55,13,Purple Socks
56,13,Yellow Socks
57,14,Red Jacket
58,14,Blue Jacket
59,14,Yellow Jacket
60,14,Purple Jacket
61,15,Red Blouse
62,15,Yellow Blouse
63,15,Purple Blouse
64,15,Blue Blouse
65,16,Blue Jeans
66,16,Yellow Jeans
67,16,Purple Jeans
68,16,Red Jeans
69,17,Red Train
70,17,Yellow Train
71,17,Purple Train
72,17,Blue Train
73,18,Purple Bus
74,18,Yellow Bus
75,18,Blue Bus
76,18,Red Bus
77,19,Purple Van
78,19,Yellow Van
79,19,Red Van
80,19,Blue Van
81,20,Blue Boat
82,20,Red Boat
83,20,Purple Boat
84,20,Yellow Boat
